vraag,antwoord
Welke vogel van het jaar 2022 heeft als Latijnse naam Vanellus vanellus, Kievit
Welke vogel van het jaar 2021 heeft als Latijnse naam  Motacilla alba, witte kwikstaart
Welke vogel van het jaar 2020 heeft als Latijnse naam Pyrrhula pyrrhula, goudvink
Welke vogel van het jaar 2019 heeft als Latijnse naam Athene noctua, steenuil
Welke vogel van het jaar 2017 heeft als Latijnse naamPicus viridis, groene specht
Welke vogel van het jaar 2016 heeft als Latijnse naam Prunella modularis, heggenmus
Welke vogel van het jaar 2015 heeft als Latijnse naam Falco subbuteo, boomvalk
Welke vogel van het jaar 2014 heeft als Latijnse naam Tyto alba, kerkuil
Van welke Griekse wetenschapper is enkel een botanisch boekje overgebleven, Theophrastus
Welke Poolse onderzoeker deed belangrijke bijdragen aan de fauna en flora van de grote oceaan, Kubary
Mechelse botanicus met standbeeld in het park, Dodoens
16de eeuwse Zwitserse dokter en botanicus die vanwege Historiae animalium wordt gezien als een van de grondleggers van de zoölogie, Konrad Gessner
Grondlegger van de erfelijkheidsleer, Mendel
Welke basketter voor de Toronto Raptors werd geschorst wegens gokken, Jontay Porter
Welke Italiaanse voetbalinternational werd werd geschorst wegens gokken, Sandro Tonali
Welke Chinese snookeraar werd 5 jaar geschorst wegens matchfixing, Yan Bengtao
Welke Ierse darter werd 8 jaar geschorst wegens matchfixing, Kyle McKinstry
Welke nederlandse darter werd 3 jaar geschorst wegens matchfixing, Wessel Nijman 
Welke Engels-Indische darter werd 8 jaar geschorst wegens matchfixing, Prakash Jiwa
Ethiopische volkssport en voorloper van hockey, Genna
Traditioneel tikkertje in India, Khabaddi of Kho-kho
Turkse inheemse ruitersport, Cirit
Braziliaans inheemse vorm van badminton met de hand, Peteca
Welke stripreeks is van Van Hamme en Rosinski, De Chninkel
Welke stripreeks is van Casales en Guarnido, Blacksad
Wie schreef de strip Maus, Art Spiegelma
Welke stripreeks is van Loisel en Tripp, Magasin général
Welke alternatieve strip maakte Franquin, Zwartkijken
Van welke tekenaar is De loopgravenoorlog, Tardi
Wat is een ander woord voor de voordracht van het openbaar ministerie, rekwisitoor
Wat is een ander woord voor borgstelling, leisting
Met welk vijfletterwoord duiden we roekeloos geding aan, SLAPP
Wat betekent INRI, Iesus Nazareth Rex Iudei
Welk meer ligt vlakbij de kust van Venezuela, Maracaibo
Welke rivier loopt door Dublin, Liffey
Japanse regio die Kanagawa Chiba en Tokyo omvat, Kanto
Frans Eiland boven Antarctica, Kerguelen
riviertje in voerstreek, Berwijn
gebergte dat de waterscheiding vormt tussen de Guadiana en Guadalquivier, Sierra Morena
Op welk domein van een Italiaanse familie ligt de jeruzalemkapel, Adornes
Hoe heet de woestijn in Australië waar geen bomen groeien, Nullarbor
Welke slag verjaarde toen Franz Ferdinand werd vermoord en waarin Murat I de Serven onder Lazar versloeg, Merelveld
In welke slag verloren de Fransen Indochina aan de Vietnamezen, dien bien phu
Welke Pool won met zijn gevederde brigade een slag tegen de turken, jan sobieski
Op welk plein kwamen de dwaze moeders samen, plaza de mayo
In welk kasteel kwam Leopold III samen met zijn ministers om de capitulatie te bespreken, wijnendale
Wie ontdekte toevallig Paaseiland, Roggeveen
schilderij van David dat afbeeldde hoe de derde stand zich verbond in een speelhal, eed van de kaatsbaan
Belg geboren in 2000 en viervoudige wereldkampioen MX2, Jago Geerts
13-jarige Belgische darter die het WK junioren won, Lex Paeshuyse
druif die voor veel wijnen zorgt in Californië, Zinfandel
hoe heet het aquarium in restaurants waar kreeften worden gehouden, homarium
finse architect tulpenstoel en gateway arch in Saint-Louis, Saarinen
hoofden onderwijs Go en katholiek, Pelleriaux en Boeve
wat is het adres van Harry Potter, 4 pivet drive
Welk klein eiland net buiten de noordoostelijke kust van Groenland. Het wordt beschouwd als de meest noordelijk gelegen landmassa op aarde, kafeklubbeneiland
Welke Mexicaanse president was drie decennia aan de macht en ontmantelde langzaam de democratische structuren, Diaz
Wie was de leider van de linkse vleugel van de Russische sociaal-democraten?, Julius Martov
Welke Russische minister-president leidde de Voorlopige Regering in 1917?, Alexander Kerenski
Welke natuurkundige wetten beschrijven de spannings- en stroomverdeling in elektrische netwerken?, Wetten van Kirchhoff
Welke uitgestorven canidensoort leefde op de Falklands?, Warrah
Hoe heet een mouwloos bovenstuk voor warm weer?, Tank top
Hoe heet grond die volledig eigendom is zonder feodale verplichtingen?, Allodium
Welke botziekte veroorzaakt abnormale botgroei en -afbraak?, Ziekte van Paget
Welke Franse botanicus uit de 19e eeuw schreef veel flora-werken?, Apollinaire Fée
Welke Franse arts richtte Artsen zonder Grenzen op?, Kouchner
Welke Belgische darter staat bekend om zijn sterke prestaties op de WDF-tour?, Andy Baetens
Welke Amerikaanse schrijver schreef de “Rabbit”-romancyclus?, John Updike
Welke Amerikaanse auteur schreef o.a. “Them” en “Blonde”?, Joyce Carol Oates
Welke Nederlandse zangeres vertegenwoordigde Nederland op het Eurovisiesongfestival?, Trijntje
Hoe heet de prehistorische cultuur die bekendstaat om vroege landbouw in Nederland?, Swifterbant
Welke Belgische journalist en radiomaker werkt voor VRT?, Vincent Byloo
Welke piepjonge speelsters komen pas kijken bij de Belgian Cats, Verburgt en Vilcinskas
Ziekte waarbij een man twee penissen ontwikkeld, diphallus
populaire nieuwe komiek in de VS, Trevor Noah
Welke Argentijnse performance-artist hulde zich in kranten, Martha Minujin
Het recht van de graaf om de door de zee aangeworpen landstrook bij zijn domein te voegen, lagaanrecht
Deze Poolse won 3x goud op de Spelen in het hamerslingeren en wierp als eerste verder dan 80 meter, Wlodarczyk
Spaanse schapenkaas, Manchego
Chirurgische verwijdering eierstokken, Ooforectomie
Welke Nederlandse schrijver en columnist schreef onder de pseudoniemen Piet Grijs en Battus, Brandt Corstius
riviertje dat door de Hoge Venen stroomt, Helle
Eerst lag deze rivier in Rotterdam daarna lag Rotterdam in deze rivier, Schie
groep legeringen met zink, zamak
Naar welk Frans eiland is het kleinste schapenras ter wereld vernoemd, Ouessant
Welk Frans schapenras komt uit een streek die ook zijn naam gaf aan een Amerikaanse staat, Bleu de Maine
Wat is de Franse keukenterm voor iets afkoelen met ijs, frapperen
Welke Japanse baseballer werd 4x op 5 jaar MVP, Shohei Ohtani
Hoe heet een rollercoaster in het Frans, motagne russe
Wie volgde Sander Gillis op als Ketnetwrapper, Nona ‘t Jolle
In welke strip maken we kennis met Robert en Bertrand, Mysterie op Rozendael
Hoe heet de tijdsperiode waarin hemellichamen zich schijnbaar op dezelfde positie bevinden en met dezelfde snelheid, epoche
Wie is na Shannon Miller en Simone Biles de meest gelauwerde artistieke turnster, Aly Raisman
Hoe heet de ontwikkelaar van Pokémon en zijn bedrijf, Satoshi en Game Freak
Langs welke rivier en in welk gelijknamig departement liggen Angoulème en Cognac, Charente
Welke wetenschapper publiceerde een verzonnen artikel om aan te tonen dat een toonaangevend tijdschrift niet deugde, Sokal
Welke tijdgenoot van Sartre won de prix Goncourt met La Condition Humaine, André Malraux
Wat is de eigenlijke naam van de zogenaamde Arafatsjaal en hoe heet de band die hem op zijn plaats houdt, Keffiyeh en Agaal
Hoe heet de oppergod van de Armeense en Hettitische mythologie, Teshub
Welke blauwe bloemen uit de ranonkelfamilie hebben de vorm van een helm of muts, monnikskap
Welke Vlaamse primitief schilderde een portret van Arnolfini, Jan Van Eyck
Welke Vlaamse primitief schilderde Portretten van Filips de Goede, Rogier Van der Weyden
Welke Vlaamse primitief schilderde Portretten Maria met kind en engelen, Memling
Welke Vlaamse primitief schilderde de Tuin der Lusten, Bosch
Welke Vlaamse primitief schilderde de Toren van Babel, Brueghel
Welke Vlaamse primitief schilderde het Oordeel van Cambyses, Gerard David
Welke Vlaamse primitief schilderde Sint-Eligius in zijn werkplaats, Petrus Christus
Welke Vlaamse primitief schilderde De geldwisselaar en zijn vrouw, Quinten Metsys
Welke Vlaamse primitief schilderde het Portinari-triptiek, Hugo Van der Goes
Wie is de auteur van de beroemde strip Fritz the Cat?, Robert Crumb
Wat is de nieuwe vernederlandste naam van Assurancetourix?, Kakafonix
Wie tekende de strips van Natasja en Rubine?, François Walthéry
Welke scenarioschrijvers werkten met tekenaar Walthéry?, Mythic en Dragan de Lazare
Welke Italiaanse striptekenaar staat bekend om zijn erotisch werk ?, Milo Manara
Wie is vaste scenarist van Manara?, Alejandro Jodorowsky
Wie is de auteur van Jugurtha Jeremiah en De torens van Schemerwoude?, Hermann
Welke stripreeks van Christin en Mézières geldt als klassieker in de sciencefiction?, Ravian Valérian
Hoe heet de stripreeks van François Schuiten en Benoît Peeters over imaginaire art-deco steden?, De duistere steden
Welke Amerikaanse bijnaam verwijst naar een lid van een beruchte bende en werd later een stripfiguur?, Bulger
Wat is de naam van de jeugdvoetbalploeg van Suske en Wiske?, FC De Kapoenen
Hoe heten Suske en Wiske in het Engels?, Spike en Suzy
Wie won de eerste nobelprijs geneeskunde? Hij was een assistent van Koch. Hij vond met Paul Ehrlich een vaccin tegen dyfterie,Emil von Behring
Andere naam voor vingerkootje. Het is ook een oorlogsterm uit de oudheid, phalanx
Andere naam voor een afwijking aan de bloedvaten die een rode huid geeft,Couperose
Welke holistische japanse praktijk maakt onder andere gebruik van handoplegging,reiki
Welke oogarts die een telg is uit een bankiersfamilie gaf zijn naam aan een ziekte, Tay Sachs
Welke term geven we aan meisjes die geboren zijn uit een kuur die miskramen moest voorkomen maar daardoor onvruchtbaar werden,DESdochters
Welk bedrijf en familie zat achter het oxycontin schandaal,purdue en sackler
Welke Nederlander promoot het medisch nihilisme, Jacob Stegenga
Waar wordt insuline aangemaakt,in de eilandjes van Langerhals
Wat is een andere naam voor bindweefsel,fascie
Waar in de hersenen wordt informatie van het korte naar langetermijngeheugen gebracht,hippocampus
Welke voorloper van Novartis bracht LSD op de markt,Sandoz
Wat is een algemene naam voor seksuele afwijking, parafilie
Welke atomaire stof vervolledigt de formule voor Isobetadine? povydon,iodium
Onder welke naam kennen we N 2 O,lachgas
Wat is de wetenschappelijke naam voor bijziendheid, myopie
Waarvoor staat de m in m R N A,messenger
Welke ziekte krijg je niet bij een bepaalde mutatie van het gen CCR5-delta32,HIV
Welk lichaamsdeel kennen wij onder een andere naam dan thymus,zwezerik
Welke Duitser is de vader van het klonen,Speman
Wat is de naam voor de laterale fissuur in hersenen,groeve van Sylvius
Hoe heet de gegeerde vrouwelijke cannabis zonder zaden,sinsemilla
Hoe heette een aandoening in de Middeleeuwen die aanleiding geeft tot motorische onrust,frenesis
Waar wordt het vrouwelijk DNA geregenereerd,mitochondriën
Hoe heet de Nederlandse prijs die toegekend wordt aan kwakzalvers of andere pseudo-geneeskunde,meester Kackadorisprijs
Waarvoor diende fentanyl voor het een vreselijke drug werd,anesthesie bij paarden
Hoe heet leven na dood waarbij iemand ingevroren wordt om later weer te ontdooien,cryonisme
Hoe heet de witte bloedcel die slechte cellen eet,fagocyt
Grondlegger van de erfelijkheidsleer, Mendel
Bedenkers van het dubbele helixmodel, Crick en Watson
Wiens experimenten voorzagen Crick en Watson van hun bewijsmateriaal, Franklin
Andere naam voor pijnstillers, analgetica
Veelgebruikt middel tegen parasieten, closantel
Ander woord voor uierontsteking, metritis
Studie van tekens, semiotiek
dokter die hygiëne introduceerde, Lister
Hoe heet het syndroom waarbij men losse gewrichten krijgt, Ehlers Danlos
Welke Zweedse geneticus kreeg de Nobelprijs voor zijn werk aan oud DNA?, Paabo
Welke evolutietheorie stelt dat verworven eigenschappen erfelijk zijn?, Lamarckisme
Hoe heten de uiteinden van chromosomen die een rol spelen in veroudering?, Telomeer
Hoe heet de genetische aandoening waarbij een man een extra X-chromosoom heeft?, Syndroom van Klinefelter
Test voor het opsporen van Down Edwards syndroom en Patau syndroom door het DNA van de baby afkomstig van de placenta in het bloed van de moeder te meten, NIPT
Hoe heet het hoedachtige deel paddenstoel? Het is ook een Griekse muts, pileus
Wie is de Frans geestelijke pionier van flora op de antillen, charles plumier
Wat is bijenleer, apidologie
Wat is de wetenschappelijke naam voor apen, simiiformes
Wie vond de wet dat voortplanting zoekt naar een 1:1 verhouding, Fisher
Hoe heet de leer van organische natuurverschijnselen die vasthangen aan een periode van het jaar, fenologie
Welke psychoactieve stof is actief bestanddeel in veel “magic mushrooms”?, Psylocybine
Hoe heet een Afbeelding van evolutie-biologie, cladogram
Hoe heet de studie vanverdwenen mensachtigen, paleoantropologie
Hoe heet een ondergrondse horizontale stengel, rizoom
Welke Grieksromein uit Pergamon zou 15 eeuwen de geneeskunde bepalen, Claudius Galenus
Wie was de eerste vrouwelijke arts in België?, Isala Van Diest
Wat is de betekenis van pfas, Poly- en perfluoralkylstoffen
Wie vond pfas uit en voor welke firma, Roy Plunkett en DuPont
Voor welke toepassing werden pfas uitgevonden, Teflon
Wat is de bittere Engelse naam waaronder pfas bekend zijn, “forever chemicals”
Welke neurotransmitter regelt het beloningssysteem, dopamine
Welke neurotransmitter regelt het bvechten of vluchten' mechanisme, adrenaline
Welke neurotransmitter regelt de gemoedstoestand, serotonine
Welke neurotransmitter regelt de slaapprocessen, histamine
Welke neurotransmitters verminderen pijn en geven een gevoel van geluk, endorfines
Welke erfelijke bindweefselaandoening is genoemd naar een Franse kinderarts, marfan
Welke Belgen wonnen in 1974 de nobelprijs voor celstructuur,  Claude en Deduve
Welk afbraakproduct van hemoglobine zorgt voor de gele kleur bij geelzucht, bilirubine
Welke term uit de spoedeisende geneeskunde beschrijft het kritieke uur na een trauma?, Het gouden uur
Welke auto-immuunziekte veroorzaakt glutenintolerantie?, Coeliakie
Welke neuroloog schreef het boek “The Man Who Mistook His Wife for a Hat”?, Oliver Sacks
Welke medische techniek brandt weefsel weg?, Cauterisatie
Welke erfelijke hartaandoening veroorzaakt plotse hartritmestoornissen?, Syndroom van Brugada
Wetenschappelijke naam voor slechte adem, halitose
Welke spier verbindt nek en rug, monnikskapspier
Welke dubbelnaam beschrijft de massale cadmiumvergiftiging in de Toyota-prefectuur in 1912, itai itai
Iemand die een blikseminslag overleeft vertoont soms een vertakte striem op de huid die we noemen naar de ontdekker, Lichtenberg patroon
Welke spieren doen onze haren rechtkomen, arrectores piorum
Wie was naar alle waarschijnlijkheid de zogenaamde Meester van Flémalle en leermeester van Rogier van der Weyden, Robert Campin
Welke Vlaamse primitief schilderde aan het Spaanse Hof, Jean de Flandes
Welke Franse miniaturist was een voorloper van de Vlaamse Primitieven, Jean Pucelle
Welke Vlaamse miniaturist was een voorloper van de Vlaamse Primitieven, Jan Boudolf	
Hoe heten verschillende riviertjes in België en Nederland met een oeroude naam, Aa
Waar ontspringen de oostelijke en westelijke Dender, Vezon of Barry en Jurbise
Waar ligt Pari Daisa, in Brugelette
Wat zijn naast Lampedusa de twee andere Pelagische Eilanden, Linosa en Lampione
Hoe heet een inwoner van Rio de Janeiro, Carioca
Hoe heet de trap die nergens heen leidt in Tielt-Winge, Vlooybergtoren
Waar liggen de mooie meren en watervallen in Kroatië, Plitvice
Hoe heet het strand in Agadir met de mooie rode bogen, legzira
Hoe heette de groep van katholieke edelen die in de jaren 1577-1578 met een eigen leger de zijde van koning Filips II kozen in de Tachtigjarige Oorlog, Malcontenten
Hoe heette de eerste vrouw van Mohammed, Khadija
Wie leidde de Nerviërs in de Slag aan de Sabis tegen Julius Caesar, Boduognat
Wie was het echte vrouwelijke brein achter de Rote Armee Fraktion, Gudrun Ensslin 
Welk Oostenrijks militair genie was enige tijd gouverneur van de Nederlanden, Eugenius van Savoye
Welk schip vernoemd naar een admiraal uit de eerste wereldoorlog en in welke Zuid-Amerikaanse rivier werd die tot zinken gebracht, Graf Spee
Nabij welk dorp beschoot het Israëlische leger in 1996 een door VN-troepen beschermd vluchtelingenkamp, Qana
Welke aartsbisschop van Milaan was een belangrijke figuur in de contra-reformatie en startte de praktijk van seminaries, Carolo Borromeo
Hoe noemen we een getal dat gelijk is aan de som van zijn delers, Perfect getal 
Wat is de wetenschappelijke naam voor geslachtsloze voortplanting, Parthenogenese
Hoe heten de blaasjes in de eierstokken waar eicellen geboren worden, follikels
Welke Belg heeft de passe-vite uitgevonden, Simon
Wat was de bijnaam van de maniërist Fransesco Mazzola die het visioen van Hyeronimus schilderde, Parmigianino
Belgische beeldhouwer die grote naaktbeelden maakte, George Grard
Russische performance artist, Petr Pavlensky
Hoe heette de zogenaamde Schilder van de Kempen die stierf in 1975, Frans Van Giel
Amerikaanse performance artist die zelf naakt aan kettingen hing in Interior Scroll, Carolee Schneemann
Hoe heet de in 2016 overleden amateurwielrenner die de profs van cola voorzag, Lucien Blyau
Welke Russsche verspringster schitterde op de OS van 2016 en 2021, Klishina
Welke Costaricaan stopte met wielrennen na een aanrijding door een vrachtwagen, Amador
Colombiaanse sprintbom, Gaviria
Welke Rus schreef De meester en Margarita, Bulgakov
Welke twee Brugse dichters hebben meegewerkt aan het Gruuthuse-handschrift, Jan Van Hulst en Jan Moritoen
Hoe heet de jongste worp van Dimitri Verhulst, Bechamel Mucho
Wat was het laatste boek dat Vargas Llosa schreef, Le dedico mi silencio
Welke aap komt louter in Sulawesi voor, Kuifmakaak
Hoe heten de aan struisvogels verwante stuithoenderen in Zuid-Amerika, Tinamoes
Suzanne-met-de-mooie-ogen is een bloem uit welk geslacht dat vernoemd is naar een Zweeds botanicus, Thunbergia
Wie is de presentator en influencer van het programma Lucky Dog, Brandon McMillan
Welke twee namen geven we aan de heilige die Jezus een doek aanbood om zijn zweet af te vegen tijdens de kruisweg, Veronica en Berenice
Hoe heten de twee sportmodellen van Lamborghini die in productie zijn naast de SUV Urus, Revuelto en Temerario
Hoe heetten de vrouwen die deelnamen aan de gijzeling in Moskou of de Tsjetsjeense jihad in het algemeen, Shahidka's of zwarte weduwen
Wie is sinds 2024 hoofd van de staatsveiligheid, Francisca Bostyn
Andere naam voor SSS eilanden in de Kleine Antillen, Bovenwindse eilanden
Welke enclave in Spanje was het voorwerp van een semantisch spel over een verdrag met Frankrijk?,Llivia
Wat is de hoofdstad van Karinthië?,Klagenfurt
Welke regionale vlag toont twee gouden luipaarden op rood?,Vlag van Normandië
Welke Italiaanse ontdekker was de eerste Egyptoloog?,Pelzoni
Welk akkoord uit 1122 maakte een einde aan de Investituurstrijd?,Concordaat van Worms
Welke stad is bekend van een economisch verdrag tussen Hongarije Polen Tsjechië en Slowakije?,Vysegrad
Hoe heet de godendrank die onsterfelijkheid verleent?,Ambrozijn
Welke trofee wint de kampioen van de NHL?,Stanley Cup
Welke Belgische wielrenner was een knecht van Poulidor,Melckenbeek
Welke Afghaanse polo-achtige sport wordt te paard gespeeld?,Buskazi
Hoe heet een middeleeuwse gevechtsre-enactmentdiscipline?,Buhurt
Welke wintersport combineert langlaufen en schansspringen?,Noordse combinatie
Welke Zuid-Amerikaanse kameelachtige levert de hoogste kwaliteit wol?,Vicuna
Welke bloem wordt ook ridderspoor genoemd?,Ridderspoor
Hoe heet een groene gordel rond steden in Marokko?,Rabat-bos
Wie was de koningin-gemalin van Rama IX in Thailand?,Sirikit
Welke twee dwergen speelden mee in oude en nieuwe televisieseries?, Willemsens en Vervoort
Wie is de nieuwe voorzitter van les Engagés?,Verougstraete
Welke Duitse expressionist schilderde “Gelbe Jacke”?,Macke
Kortrijkse choreografe bekend van So you think you can dance, Beernaert
Japanse fotografe met poëtische beelden, Kawauchi
Hoe heet de processie in Brugge waarbij blinden centraal staan?,Blindekensprocessie
Welke kledingprint bestaat uit kleine ruitjes en heet ook ridderspoor?,Ridderspoor (kleren)
Hoe heet de internetmeme over overdreven Italiaanse cultuur?,Italian brain rot
Hoe heet het vetmesten van ganzen voor foie gras?,Gavage
Wat is de munteenheid van Mongolië?,Tugric
Waarvoor staat de afkorting Iveco?,Industrial Vehicles Corporation
Hoe heet de schildpadvormige antagonist uit Mario?,Bowser
Hoe heet het fijn graveren of bewerken van metaal?,Ciseleren
In welk videospel controleert de speler documenten aan een grenspost?,Papers Please
Wie is het hoofdpersonage uit de blikken trommel?,Oscar Maserat
Hoe heet Bart Van Loo zijn boek over de Bourgondië?,Les Temeraires
